채상,65,180
채욱,65,153
진진,54,157
진채,75,170
진섭,98,183
은수,44,151
건진,42,160
섭은,77,151
경수,92,199
은진,49,179
철진,93,154
진수,98,199
건철,68,197
섭경,86,181
철민,99,168
욱섭,75,173
철경,73,189
섭섭,86,188
철은,44,166
철수,56,196
민진,90,190
철건,91,166
철진,89,175
민욱,68,157
경은,42,194
상수,69,179
채상,86,176
섭민,50,177
은채,91,163
건진,46,165
경은,83,199
욱민,72,179
채민,84,176
민수,87,150
채수,60,181
상건,96,168
섭민,60,161
건진,76,198
건민,89,179
섭섭,84,194
섭철,74,180
건욱,94,188
욱철,79,183
섭수,71,184
진진,93,187
수진,76,176
채진,42,185
수은,88,190
은민,79,186
경은,85,156
진은,84,195
채욱,60,174
욱철,65,169
상경,92,151
철경,88,180
상수,78,170
채상,69,158
상상,42,167
철욱,47,169
민진,56,156
섭욱,81,195
상건,85,155
섭채,89,150
민섭,46,195
채섭,62,153
철수,70,184
수수,76,174
철경,44,169
진채,61,171
섭상,90,183
민은,60,185
수은,51,176
경경,90,197
수민,71,199
섭수,68,180
욱진,54,174
수섭,75,174
진섭,67,174
상철,40,182
민채,55,176
채철,65,152
진상,73,185
욱은,60,167
상상,59,158
민채,72,161
수은,98,157
수섭,62,198
철은,57,175
진섭,41,168
민상,52,166
수은,65,194
섭경,98,150
건건,47,180
욱수,66,193
상섭,52,184
건민,45,152
상채,94,191
민상,77,190
건민,57,179
경민,57,195
진경,60,179
섭욱,72,186
수경,91,182
섭철,86,157
민욱,79,174
채욱,77,176
은섭,65,175
섭건,98,171
욱진,99,177
수건,62,186
건진,69,150
은진,99,186
민상,55,154
진은,64,197
수섭,56,157
섭욱,86,166
은상,73,190
욱상,78,161
수경,88,188
민욱,66,169
진철,69,182
진수,68,180
채채,53,191
채채,57,183
섭진,95,191
섭섭,89,178
진진,69,150
철수,46,181
수진,81,154
건채,51,152
섭채,93,160
민민,83,151
경상,97,190
건상,42,152
진채,63,188
채섭,95,166
진건,64,155
은은,48,170
섭은,90,152
상경,67,155
섭섭,71,165
섭은,56,157
채건,76,186
채상,68,181
수경,73,154
건진,63,196
섭은,59,183
민상,82,155
철욱,82,197
경수,40,173
경진,57,172
욱수,42,177
욱은,76,189
은욱,78,176
철경,69,178
경진,63,181
채수,62,199
철진,60,175
상상,69,186
은민,58,191
민욱,80,197
수철,79,189
민욱,47,185
채수,59,152
욱경,96,196
철건,60,179
상진,58,150
철경,95,196
진수,51,182
수민,61,172
철민,83,168
진채,72,169
은섭,96,193
섭철,58,188
욱욱,94,191
경채,64,173
채욱,78,152
수진,73,157
상채,79,197
건채,88,152
섭욱,72,191
섭상,44,161
진진,40,194
민상,65,174
상건,81,189
상철,90,182
수수,47,181
채건,40,190
은은,67,180
경철,99,195
수채,83,152
진경,53,156
경철,95,170
채욱,72,156
건경,53,195
섭철,47,168
건경,82,181
수섭,91,164
수건,72,161
상경,86,187
경철,66,189
경은,51,162
경욱,97,152
진섭,95,154
철채,99,189
민섭,45,176
진욱,64,159
진진,98,176
철상,50,156
철철,61,177
수민,51,161
수수,40,178
욱욱,50,156
경수,77,180
경건,77,177
철욱,92,151
섭은,89,166
진상,54,189
섭채,80,156
민섭,56,152
섭은,54,152
진채,92,170
수상,61,153
욱섭,93,166
수경,53,170
민경,60,196
섭수,81,197
철수,74,195
민수,71,199
수섭,89,156
철경,70,167
채욱,46,154
은섭,46,184
수상,65,152
철경,92,182
경철,44,191
욱욱,78,176
욱욱,76,170
민수,95,178
수민,87,198
섭채,49,164
경민,69,159
수채,95,178
민진,65,152
경수,43,168
채경,43,155
은상,53,186
건채,91,199
철철,94,193
채채,45,187
철건,57,182
섭채,80,158
상민,95,152
진섭,79,180
은욱,95,199
채상,49,166
섭상,82,182
욱수,63,187
진섭,44,159
욱섭,44,161
철민,59,192
욱상,43,196
은진,75,172
채철,94,199
수철,62,176
민수,65,167
경상,84,176
수수,50,150
욱수,73,189
진은,55,183
채철,83,193
은욱,90,161
철은,96,171
은경,74,190
은철,43,195
욱철,77,194
채진,89,170
진상,74,193
건수,82,160
진진,77,154
수경,70,187
건은,87,170
진채,73,190
섭민,66,184
경은,92,164
섭수,92,194
경상,85,173
상욱,91,195
은민,44,182
건상,44,174
민수,81,172
경상,60,162
섭상,77,170
섭채,74,173
상은,65,177
철상,83,186
건채,47,156
건건,75,174
건철,69,191
경경,80,192
섭철,54,193
진상,64,168
은은,88,183
상채,74,155
민민,77,197
진건,73,185
수수,71,180
철은,54,195
경섭,85,168
민건,86,173
욱수,81,167
철욱,42,197
건건,49,180
욱상,78,173
진채,61,157
건민,80,187
상은,74,162
욱수,67,187
경은,87,162
상민,97,159
욱민,78,175
욱욱,92,190
상섭,62,184
욱건,58,159
진상,99,174
건섭,58,166
욱은,87,194
채상,93,167
경은,92,161
경은,45,157
욱은,44,180
건은,73,178
채욱,89,178
경경,56,178
은건,79,159
진채,74,189
은건,78,155
은진,60,174
섭진,69,170
섭섭,74,193
은은,51,162
철철,42,193
상철,46,155
경섭,62,181
섭욱,86,176
채섭,70,159
은경,46,164
섭상,87,170
민섭,50,157
철건,46,196
은은,71,191
건경,54,158
민채,69,159
진상,75,159
건철,68,171
민채,84,195
경은,92,199
채채,82,168
채경,58,191
수경,52,183
수경,74,156
민섭,56,162
경은,55,190
섭상,70,167
채욱,98,189
섭수,61,164
은채,80,163
경채,53,196
수은,78,195
욱섭,49,178
상진,64,150
은섭,57,191
채철,46,187
진경,62,183
수경,80,156
채수,76,164
상은,65,181
상철,41,188
민채,81,183
건욱,57,173
건진,71,195
건욱,85,155
욱진,40,175
욱경,76,150
섭철,83,155
건진,97,195
철경,45,167
섭민,92,165
민철,75,198
진철,67,178
철상,59,150
철철,99,151
섭채,71,199
채경,46,165
수상,78,156
수상,44,153
철수,59,179
섭철,57,193
욱은,57,195
건철,57,170
채진,68,199
은상,54,172
수채,53,154
상진,50,150
건수,69,152
채경,45,150
섭건,80,180
욱진,84,177
채섭,58,196
섭진,70,172
민섭,46,170
채경,58,152
철채,63,167
진은,62,174
상은,43,159
건경,69,170
건민,72,181
상경,81,178
경은,89,186
은수,70,163
상상,54,198
경상,46,151
욱철,76,188
경수,58,155
은상,96,178
진수,94,181
건채,78,151
채건,78,157
은욱,89,178
은민,45,170
채은,68,151
욱섭,59,152
경상,66,177
욱욱,97,155
철섭,85,168
욱진,59,182
욱철,45,192
섭섭,77,188
수진,99,197
채수,63,192
상진,78,194
철건,43,184
상상,95,179
채민,46,176
민상,45,152
섭건,90,193
욱채,91,196
철건,95,157
건은,74,181
상민,44,169
건섭,94,179
욱건,43,189
건욱,74,164
민채,95,193
경경,41,153
욱욱,78,198
철경,66,172
섭민,55,187
섭경,80,191
철민,86,172
경욱,72,155
은경,58,177
철섭,76,150
철수,67,160
민은,83,168
섭수,61,175
경수,72,185
섭경,58,190
수상,88,186
경건,66,181
민욱,51,189
은민,40,182
경건,45,195
진채,90,172
건채,91,170
채진,95,165
진민,66,166
상상,43,186
은섭,72,150
진진,41,154
경채,84,159
진건,54,164
철진,75,190
건채,60,173
건수,63,156
철경,61,197
은철,76,168
수채,55,198
경진,41,191
채섭,95,160
철경,98,166
건상,51,172
민은,42,167
경민,56,160
상진,84,195
경민,57,191
진수,60,193
욱은,50,157
철민,58,157
경은,61,158
건수,80,153
경민,41,193
은철,85,156
민진,60,165
진욱,89,178
경섭,63,179
민상,90,166
욱섭,68,153
욱수,99,168
철철,51,166
철수,73,153
철민,95,183
섭채,80,170
채채,93,172
민건,94,160
섭섭,40,195
진수,74,192
경채,44,158
진채,85,165
섭건,62,197
진채,70,153
철상,79,190
수은,98,153
욱욱,92,194
경진,55,158
철건,46,191
섭욱,84,163
건철,52,185
섭은,63,151
은철,68,177
경은,93,166
민채,53,160
욱철,52,172
섭진,44,159
상민,51,184
상채,57,193
은상,68,193
진민,72,174
수섭,90,198
섭건,40,168
섭진,55,158
섭은,92,178
상철,41,171
욱채,96,171
건상,91,189
채철,75,174
욱상,92,195
수은,90,152
진욱,72,167
진민,88,156
상수,56,159
민철,65,191
상수,82,165
욱욱,64,177
섭은,93,159
섭수,72,187
진수,96,188
철수,74,176
경철,40,187
경채,92,151
섭건,71,179
경수,97,199
은채,48,158
철상,63,199
수진,63,155
은채,66,156
건경,88,158
철욱,55,152
욱건,75,169
섭채,83,196
수민,68,150
민섭,58,197
상경,95,195
건상,55,163
민은,41,172
건진,64,165
민수,92,169
상민,49,188
민수,54,183
민욱,91,177
욱진,75,194
상건,76,177
욱상,76,184
섭경,78,165
채수,58,184
진경,91,189
상욱,99,160
은채,79,192
채상,55,184
건상,95,182
민섭,92,179
상수,46,196
섭경,92,155
상욱,75,190
은섭,54,199
건수,66,154
경수,86,173
상채,58,172
섭은,42,184
수은,81,166
진섭,43,176
상수,78,168
욱채,92,177
수욱,57,189
욱철,94,172
진건,61,175
민은,46,195
민수,71,189
수섭,93,185
건철,76,153
수수,90,185
상은,66,187
건철,54,150
은건,52,168
섭민,97,198
상수,66,153
철섭,50,168
진은,61,181
은경,75,185
섭경,51,169
욱채,51,193
민섭,91,174
채민,91,192
섭민,67,150
욱욱,62,197
섭욱,95,156
철상,58,150
섭진,65,193
은욱,70,160
채민,76,175
은채,68,173
은철,42,153
민민,75,196
진건,64,151
욱채,63,193
수은,93,183
섭진,65,150
섭건,94,177
진섭,49,199
건민,74,154
철건,72,168
섭욱,44,177
채경,56,150
섭건,49,182
섭은,91,167
경채,78,152
진민,94,192
진섭,57,156
경건,70,175
민은,49,188
수경,89,165
은은,40,174
민은,87,198
수민,88,194
건민,40,190
섭수,47,178
욱욱,97,176
철철,67,194
욱은,63,171
민수,66,192
욱욱,74,160
섭민,86,189
수은,65,194
철상,69,171
철섭,70,178
수수,59,189
상진,56,184
진상,80,175
민욱,80,156
욱진,69,154
은은,89,192
건욱,60,161
욱경,47,190
섭채,61,176
진경,85,195
은채,67,199
섭욱,55,155
철민,61,194
건은,72,197
은철,99,189
경채,59,191
민철,52,155
건섭,92,196
건경,71,192
철상,90,194
건민,79,176
욱민,81,163
진욱,76,150
욱경,96,178
철욱,78,177
민민,58,182
상채,83,153
진상,67,156
상건,47,154
욱철,83,183
은진,62,158
상욱,65,189
철욱,96,164
섭상,97,199
철섭,54,160
섭민,42,176
욱섭,96,156
철섭,58,168
수욱,59,199
건은,79,198
경경,44,159
은건,57,190
상은,54,189
건섭,87,185
은경,82,173
진건,88,159
채민,84,172
은은,44,177
섭섭,89,162
수경,74,162
은은,55,173
경채,40,167
철수,87,161
상채,88,188
경건,99,195
철욱,50,180
수수,63,187
경상,64,190
건진,43,187
채진,42,150
경민,80,187
건채,67,183
경수,62,184
욱건,56,186
철건,63,185
은은,73,186
상철,54,176
경건,46,177
수진,93,161
채경,83,183
상채,54,188
진채,65,156
채수,65,158
은경,80,179
철철,64,185
채진,56,156
은진,55,198
건은,99,163
욱민,83,182
채철,80,185
수경,77,156
섭철,94,184
철철,88,151
채경,82,159
욱채,95,158
상민,57,174
채채,77,183
상철,48,194
상상,59,185
섭은,96,177
건은,84,188
상욱,91,191
민민,69,169
채건,56,165
철채,76,156
섭철,42,191
경은,58,159
건수,77,161
욱경,64,194
민채,45,186
은진,81,167
수건,99,197
수상,87,157
건건,49,181
건상,77,172
진민,52,170
은경,42,170
욱진,98,153
진섭,80,160
진경,87,174
은욱,71,187
은섭,73,150
경건,91,152
섭욱,62,194
욱경,52,163
경수,76,193
건민,94,177
채섭,88,150
민건,65,190
은철,80,170
철채,67,194
건섭,92,166
섭상,57,192
섭상,76,192
철진,90,162
민상,42,175
섭경,73,150
철욱,71,152
욱경,57,174
건은,67,153
경진,98,174
진채,42,171
철경,56,170
은채,51,187
섭건,51,186
민건,59,181
철민,69,175
수섭,90,166
상은,91,177
섭욱,85,150
수진,86,187
수욱,76,195
은욱,80,191
경철,49,179
욱섭,54,150
민욱,49,162
철경,62,155
섭철,92,167
민섭,75,173
욱은,84,157
수섭,94,199
진수,52,167
상은,78,170
수민,72,162
은진,68,195
은건,71,176
진욱,82,199
민진,55,188
철진,49,168
은민,73,157
수경,59,197
채수,84,173
섭수,66,174
상경,59,162
섭수,73,194
섭은,87,172
민수,54,193
채섭,56,159
섭욱,68,195
욱섭,48,155
민욱,59,151
은섭,47,159
민철,77,179
진민,88,187
철수,46,186
은채,66,155
건채,57,157
섭민,73,195
수민,70,170
상진,76,190
진욱,97,150
철경,75,161
채수,85,161
민채,75,178
은철,86,176
민수,61,195
상수,79,195
수민,85,178
진채,60,191
경섭,47,151
건섭,93,172
은상,84,174
경건,83,177
